Date,Open,High,Low,Close,Adj Close,Volume,H-L,O-C,7 DAYS MA,14 DAYS MA,21 DAYS MA,7 DAYS STD DEV
2019-04-18,4962.5,5125.0,4875.0,4925.0,4360.91845703125,90501000,250.0,-37.5,4848.214285714285,4804.464285714285,4767.261904761905,36.39237230389324
2019-04-22,4912.5,4912.5,4812.5,4837.5,4283.43994140625,38719000,100.0,-75.0,4848.214285714285,4813.392857142857,4775.0,36.39237230389324
2019-04-23,4800.0,4912.5,4800.0,4900.0,4338.78173828125,25165200,112.5,100.0,4855.357142857143,4827.678571428572,4786.9047619047615,41.367977033086035
2019-04-24,4950.0,4962.5,4887.5,4900.0,4338.78173828125,22612800,75.0,-50.0,4867.857142857143,4840.178571428572,4793.452380952381,39.43424303584297
2019-04-25,4850.0,4862.5,4775.0,4800.0,4250.23486328125,61278200,87.5,-50.0,4862.5,4844.642857142857,4793.452380952381,46.2105687767103
2019-04-26,4812.5,4825.0,4750.0,4825.0,4272.37158203125,62720800,75.0,12.5,4862.5,4842.857142857143,4804.166666666667,46.2105687767103
2019-04-29,4862.5,4862.5,4775.0,4812.5,4261.30322265625,26364400,87.5,-50.0,4857.142857142857,4839.285714285715,4810.119047619048,49.92553979487779
2019-04-30,4812.5,4850.0,4762.5,4800.0,4250.23486328125,46762800,87.5,-12.5,4839.285714285715,4843.75,4816.071428571428,43.558253277327566
2019-05-02,4762.5,4787.5,4650.0,4712.5,4172.7568359375,60074200,137.5,-50.0,4821.428571428572,4834.821428571428,4816.071428571428,64.83725046313603
2019-05-03,4700.0,4700.0,4587.5,4625.0,4095.27880859375,59192200,112.5,-75.0,4782.142857142857,4818.75,4812.5,88.34624793283501
2019-05-06,4550.0,4562.5,4375.0,4437.5,3929.25390625,55552200,187.5,-112.5,4716.071428571428,4791.964285714285,4798.809523809524,142.10366772519606
2019-05-07,4437.5,4525.0,4375.0,4475.0,3962.458740234375,61910000,150.0,37.5,4669.642857142857,4766.071428571428,4786.309523809524,161.8347187425393
2019-05-08,4387.5,4425.0,4350.0,4375.0,3873.911865234375,41682400,75.0,-12.5,4605.357142857143,4733.928571428572,4763.690476190476,178.36893280635206
2019-05-09,4300.0,4337.5,4275.0,4287.5,3796.433837890625,69829800,62.5,-12.5,4530.357142857143,4693.75,4736.309523809524,186.92371757077044
2019-05-10,4325.0,4412.5,4287.5,4300.0,3807.50244140625,45151200,125.0,-25.0,4458.928571428572,4649.107142857143,4715.476190476191,160.35674514745818
